line,intent
Back hair is distasteful.,Judging
"I never considered the thought of leaving him, nor did he want to be without me.",Personal Experiences/Recommendations
There are a few factors to consider in this situation.,Advice/Opinion-seeking
I do not believe there is a correct age.,Assessing/Judging
She needs to learn how to be more adult.,Judging
"Yes, it say so in the bible.",Opinion Seeking
"Long distance relationships usually do not last, but it is possible.",Assessing/Judging
There is nothing wrong. I just will not do it just to do it.,Preferences/Decisions
Because I thought that was good for her and after that our relationship is not solid.,Opinion - Assessing/Judging
Bet the man to kiss you!,Advice/Opinion-seeking
When there is a break-up it hurts more because you gave up something special to him.,Emotional Expression
Look at him in the eyes.,Advice/Opinion-Seeking
"In your case, I would say no.",Judging
"To me, it seems like this man wants what every man wants from a woman, breasts and buttocks.",Judging
"I suppose it would not be wrong, as long as you are around age 16.",Advice/Opinion-seeking
I actually do take that amount.,Personal Experiences/Recommendations
Because it must be reciprocal.,Opinion
"First, ask yourself if he is the right guy.",Advice/Opinion-seeking
Can she have a crush on me?,Inquiry
She ate all of his food.,Complaints/Rants
The thirty year old and the twenty year old were really nice and sweet.,Casual Conversation
Tell him to either get serious or get lost.,Advice/Opinion-seeking
I am not sure when she will say it.,Information Seeking
"It takes some time to get it right, but it is worth it.",Personal Experiences/Recommendations
I think it is wrong when people assume that men and women can not have platonic relationships.,Opinion-Seeking
May I ask what this data will be used for?,Inquiry
Some people are negatively affected by their past experiences.,Information
Please help me with what it is.,Advice/Opinion-seeking
They have no business messing with your marriage.,Assessing/Judging
I think that if you love her then age does not matter.,Advice/Opinion-Seeking
GIrls are more emotional and get a lot of their thoughts early on.,Judging
"You can enjoy him or her in any way, anywhere and anyhow!",Casual Conversation
I can wait because I work in a junior high school.,Casual Conversation
"If he does not like you for who you are, he is not worth it.",Advice/Opinion-seeking
You should just be her friend and soon things might develop romantically.,Advice/Opinion-seeking
"If she is going to stop seeing this guy, then you should wait untill it is final and over with.",Advice/Opinion-seeking
"I am a guy and in my experience, the first things girls notice is your wallet.",Personal Experiences/Recommendations
"Once a trollop, always a trollop.",Judging
Meet a female to go on a date with me for free.,Information Seeking
"If you capture him, don't let him go!",Warning/Caution
"I want, I need, I deserve a beautiful woman.",Complaints/Rants
I don't care for it.,Preferences/Decisions
"The Magic Eight-Ball says ""Ask again later.'",Humor
"Continue loving him, but be sincere.",Advice/Opinion-seeking
It does not matter because the fact is that she is your wife.,Assessing/Judging
You can get reasonably-priced gifts at Walmart or Target; you not have to go to an expensive store.,Personal Experiences/Recommendations
Here: think about it like this,Advice/Opinion-seeking
It would be fun to babysit together.,Casual Conversation
Some women are easier to persuade than others.,Judging
"When you have permission to date, and meet a girl you like, do not hesitate to ask her out.",Advice/Opinion-seeking
It is advisable to retain an attorney.,Advice/Opinion-seeking
I could really use some help with this situation.,Support
"This irritates me. Are women nice or cruel, in truth?",Inquiry
I fell in love for the first time when I was fourteen.,Personal Experiences/Recommendations
"It is not an unruly word, but an unruly world.",Humor
Men like Asian women because they are female.,Opinion
We experience love because we are overjoyed.,Opinion: Causality
In my opinion men are lazy.,Judging
I think the holidays will give us a nice chance for a real rest.,Casual Conversation
"The more you love someone, the more you tend to argue.",Opinion (Socio-emotional Insight)
When you are truly in love you just know that this is the person for you.,Opinion
In my opinion it would be better if you move on.,Advice/Opinion-seeking
Attractive men that smell good and have a positive attitude.,Preferences/Decisions
If you make it so then it is good.,Advice/Opinion-seeking
He does not want to talk about that.,Assessing/Judging
"You will never know what will happen if you do not try, right?",Advice/Opinion-seeking
I am in love and it feels so good.,Emotional Expression
"You have made your own decisions and mistakes. At this time, whether you agree or disagree, the other party has a chance to do the same.",Assessing/Judging
But it does not ensure that the man will continue more than one minute.,Assessing/Judging
Find an original way to make it special.,Advice/Opinion-seeking
"If the two of you become romantically entangled, and the relationship ends poorly, then you will each lose a friend.",Warning/Caution
"But although you think you are, it is possible that you are not.",Assessing/Judging
"Depending on where you live, you should have a nice walk in the park, or even through the zoo.",Advice/Opinion-seeking
Don't try to date just yet.,Advice/Opinion-seeking
"I want to know about my future, if I marry,",Information Seeking
Tell me a four letter word that has created havoc for years?,Entertainment
Especially when you argue over insignificant issues.,Complaints/Rants
But make sure the feeling is mutual.,Advice/Opinion-seeking
Should I send her a note and copy him?,Advice/Opinion-seeking
"It is difficult to let go, but you must do it.",Advice/Opinion-seeking
A sex doll may be a better purchase for you.,Snark/Sarcasm
Success in older men is attractive to girls.,Opinion
Your question makes one wonder if you are old enough to participate in this conversation.,Judging
"If you cannot find what you are looking for here, you should check other areas.",Advice/Opinion-seeking
What type of girl would you prefer to date?,Preferences/Decisions
"That always works, and I mean it.",Assessing/Judging
Like I would love it if you filled in the blank.,Support
Probably he was creating both of you.,Judging
"When he, or she is what you spend all the time thinking about.",Casual Conversation
The other was a Caucasian male in six grade.,Information
It would be one thing if you did not love her and only wanted her for fun.,Assessing/Judging
I just want to see what others like.,Information Seeking
The number one thing is to talk to him.,Advice/Opinion-seeking
I hope I did not confuse you too much.,Support
"Nothing came out of it, because they are best friends.",Explanation
One has to make it that way.,Procedurality
Give him a break because he might be going through something.,Advice/Opinion-seeking
How do I start things off?,Information Seeking
There have been years of infidelity in one form or another.,Complaints/Rants
You should just be yourself!,Advice/Opinion-seeking
"When her intention is to mean no, she will say no.",Preferences/Decisions
"If you love yourself, god also loves you.",Support
Some women like smart men.,Opinion (Preferences/Decisions)
"If you would like, you may bring them to the sporting events which interest you.",Preferences/Decisions
Wait until you tire of her company.,Advice/Opinion-seeking
Christian people are supposed to follow the rules of the new one.,Judging
"If you would like diamonds for you birthday, simply ask.",Advice/Opinion-seeking
This man would become celibate before even considering having coitus with another man.,Judging
Hastily remove his clothes when he returns.,Advice/Opinion-seeking
Men and women were created in order to ensure our continued existence on earth.,Opinion
To hear their voice is an emotional experience.,Personal Experiences/Recommendations
"Picture their insufferable relatives, or anything odd about their appearance.",Snark/Sarcasm
"Unfortunate that we can choose our friends, but not our family.",Casual Conversation
"I apologize, but this is not for me.",Complaints/Rants
Playing sounds much more fun!,Opinion - Preferences/Decisions
Move on because this sounds like it is only going one way.,Advice/Opinion-seeking
Be ready to pay for the check!,Warning/Caution
Probably not because I do not want random germs!,Preferences/Decisions
He says he still loves me.,Information Seeking
I have been lied  to and I am not good.,Complaints/Rants
You might make some money talking about it on Jerry Springer!,Humor
"Be waiting for me when I come around, please.",Request
I hope I saw her once and listened to her last words.,Emotional Expression
"Honestly, you are going to have to deal.",Judging
"I must say that he sounds like a boring person, unlike myself and others I associate with.",Judging
He has been interested in me for an extremely long time.,Observation/Reporting
The first time was not good for me at all.,Personal Experiences/Recommendations
"In order to attract her romantically, be a friend to her and then she will be able to develop feelings for you.",Advice/Opinion-seeking
"I would advise that you continue with this, and start dating other men.",Advice/Opinion-seeking
"If he enjoys sports, buy him a sky blue basketball or something similar .",Advice/Recommendation
"Have you tried using pornography, toys, in the park, on the beach (if that is available to you) or simply do as I do.",Personal Experiences/Recommendations
"However, is there any way to research the information?",Information Seeking
Jenna Jameson is certainly my choice. She is very attractive. My boyfriend and I always argue over her.,Preferences/Decisions
Because women offer men faux relationships so that we are forced to be disloyal to them.,Complaints/Rants
There is only one way.,Judging
You either need to find a resolution or put an end to the relationship.,Advice/Opinion-seeking
Does he always seclude himself from his family?,Information Seeking
They only commit if they are engaged.,Assessing/Judging
"If you are wondering if a man finds you attractive, you can look for signs that he is showing.",Advice/Opinion-seeking
I am not sure what to do or think.,Advice/Opinion-seeking
Please let me know if this helps.,Support
It would be best if you asked a family member that question.,Advice/Opinion-seeking
That is great that you both like it.,Casual Conversation
I met my son's stepfather at my work.,Casual Conversation
You don't have to worry because it is going to be fine as long as you use the right method.,Support
You should ask a married woman if she has a sister.,Humor
Are you both willing to take that chance?,Inquiry
A true friend is someone you can talk to and trust.,Opinion
I think you should tell her soon.,Advice/Opinion-seeking
"In May, a very good friend of mine proposed to me, and I denied.",Personal Experiences/Recommendations
"Because I only like gay women, you should not trust my opinion on this matter.",Opinion - Self-awareness/Self-deprecation
It sounds like that he is inconsiderate.,Assessing/Judging
"Already, you have a lot of doubt.",Judging
Don't listen to those that say to date him.,Judging
He has a long distance girlfriend.,Information
"Thugs, scrubs, and women beaters should all be incarcerated.",Judging
"If that doesn't help, try Yahoo.",Advice/Opinion-seeking
How can I go about winning her back?,Advice/Opinion-seeking
I'm sorry to hear about the sad news about your girlfriend.,Support
"After I brought it to her attention, she's thinking about it.",Preferences/Decisions
"If she continues with this behavior, you should replace her.",Advice/Opinion-seeking
Why don't you ask his friends or family?,Advice/Opinion-Seeking
You are not supposed to entice boys.,Judging
"Well, it obviously turns her on and is normal. I do not know where you are, but keep warm.",Casual Conversation
If it is casual then it is not special unless what is special is happening in the casual environment.,Opinion
What did you feel when you met the guy or girl of your dreams?,Subjective Questions
Do not wait for him to make the move!,Advice/Opinion-seeking
"Go out, have fun, and explore and test your limits. You will be happy that you did!",Advice/Opinion-seeking
"Chat with me now, then email me later.",Procedurality
"Maybe make it a romantic night at home, or take him somewhere energetic.",Advice/Opinion-Seeking
I believe you should wait until you are married. If that's what you want as well.,Advice/Opinion-seeking
You need to get him examined soon.,Advice/Opinion-Seeking
That way you'll always be having fun.,Advice/Opinion-seeking
"Be creative, maybe she became sick or got kidnapped.",Humor
"Talk to him constantly about anything such as you day, your dog, TV, et cetera.",Advice/Opinion-seeking
I can tap my feet for hours.,Casual Conversation
Why do women cheat on men?,Causality
"She might, but if you rush, it might not go so well.",Advice/Opinion-Seeking
What is it that she has always wanted to do?,Information Seeking
"Who says ""age is a mere number""?",Information Seeking
It does not have to cost anything.,Advice/Opinion-seeking
Check my answer for the previous question.,Support Seeking
It is just a moment where everything is racing through your brain.,Emotional Expression
"Then you can face him, or away from him.",Advice/Opinion-seeking
Always go with your first thought.,Advice/Opinion-seeking
"Once she is gone, she's gone, unless, unless.",Casual Conversation
If it seems cared for I wouldn't pay it much attention.,Preferences/Decisions
But now it's like a dream that is reality.,Emotional Expression
"If he was a Christian like he should have been, equally yolked?",Judging
"I have experienced this lesson the difficult way, mind your business!",Warning/Caution
"Oh my god, I would just love it and say nothing.",Emotional Expression
"I'm not perfect (nor will I ever be), but I am better.",Emotional Expression
"You aren't going to want to have sexual intercourse when you are 70 years old, so what will you have left?",Advice/Opinion-seeking
All he can do is say no.,Advice/Opinion-seeking
"Make someone laugh.  It's an orgasm you can give anyone, anytime, anywhere without any inconveniences.",Humor
I have been very selfless in the relationship and she will be the first to tell you that.,Assessing/Judging
You cannot stand to be apart because you do everything together.,Assessing/ Judging
Thinking of that little thing they do that is so annoying.,Complaints/Rants
Learn to be comfortable with yourself and you will realize that you do not need a date to be happy.,Advice/Opinion-seeking
It is like this...it is a practically a brother and sister's job to tease and annoy each other.,Casual Conversation
"Maybe you should consider getting back together with your ex, instead of using someone else.",Advice/Opinion-seeking
"In my opinion, if you really like this boy do not be afraid to admit it.",Advice/Opinion-seeking
It goes both ways.,Casual Conversation
"Remember, that many guys that are just after one thing.",Warning/Caution
I tend to stay friends with all of my ex-girlfriends.,Preferences/Decisions
It will only lead to problems.,Warning/Caution
"When in doubt, question your girl about what she wants out of her relationship.",Advice/Opinion-seeking
Men also enjoy talking about themselves.,Opinion
"Start with asking your wife, and go from there.",Advice/Opinion-seeking
Whoever this person is self absorbed.,Assessing/Judging
I completely understand you.,Support
I am sure you will find one just for you.,Support
I do not have aproblem with that.,Preference/Decision
"Once you are finished dating, you should find love.",Advice/Opinion-Seeking
You are very upset and need time to calm down.,Support
Have you ever felt palpitations in your chest when you notice the person that you love?,Personal Experiences/Recommendations
"Despite everyone noticing me giving him my house key, he thinks that I am telling everyone our business.",Complaints/Rants
"You can be sweet, just be sure to not over do it.",Advice/Opinion-seeking
"If you're happier being apart now, you should just keep it that way.",Advice/Opinion-seeking
"Otherwise, she might get the wrong idea and think that you want to fulfill your desires.",Caution
"Now that the tables are turned on you, how old were you when you lost your virginity?",Information Seeking
"Unless you have the means, purchase a quality one without spending too much on it.",Advice/Opinion-Seeking
It is easy to massage and I appreciate the sleekness.,Personal Experiences/Recommendations
A certain person starts to act weirdly around you.,Inquiry
"If you do not have a friendship with them, build that first.",Advice/Opinion-seeking
I think that males want sexual relations whereas women want security.,Assessing/Judging
"However, I could be wrong. That's just what I",Advice/Opinion-seeking
I wonder if this nice girl named Amanda will agree to a date if I ask her out.,Advice/Opinion-seeking
It is better to go without as committing adultery is simply wrong.,Judging
He was fair to the kids and me.,Judging
Men and women equally enjoy physical intimacy.,Judging
But make sure you get her permission first.,Advice/Opinion-Seeking
"We are going to the movies, where it is quiet.",Casual Conversation
Do not talk about pornography or masterbation in front of her.,Warning/Caution
Tell them that you do not see them that way.,Advice/Opinion-seeking
"He likes the color sky blue, as well as chains.",Information
Our lips moved when speaking.,Information
She has a boyfriend she's close to dumping.,Gossip
"If you don't want the woman you're with, you should leave her.",Advice/Opinion-seeking
Is she willing to consider giving it up if you ask?,Advice/Opinion-seeking
Is she aware that you want to try to work this out with her?,Information Seeking
Be yourself and not something else.,Advice/Opinion-seeking
Get over it and satisfy her sexually.,Advice/Opinion-seeking
That sounds a little bit funny to me.,Humor
"I would prefer to date a girl who is twenty years old or older, as girls my age are not pleasant.",Preferences/Decisions
"They are hunters, so let them hunt.",Opinion (Judging)
It sounds to me like your a bit angry!,Judging
As long as that person wants to stay on the phone with me.,Preferences/Decisions
"Just leave, it's better being single anyways.",Advice/Opinion-seeking
Every now and then I'll bring her flowers.,Personal Experiences/Recommendations
"Just wait the right person will come along, it might just take awhile.",Support
"If I believed I needed to change something, it's time to move on!",Preferences/Decisions
"They are classier and are better, what should I say?",Advice/Opinion-seeking
"Now think of this guy, is he worthy?",Opinion-seeking
"I find that pierced ears are not, because lots of girls have that, but other piercings are hot.",Preferences/Decisions
"Sounds like you would either really dumb, or psycho, or both.",Judging
Why did you not consider that before doing what you did?,Causality
After that I gave it to the lady.,Procedurality
"Regardless, you will have to upset them.",Assessing/Judging
In order for them to produce as many infants as possible.,Causality
But I would do this:,Preferences/Decisions
My advice would be to attend the meetings with your boyfriend.,Advice/Opinion-seeking
Consider the consequences carefully before you decide to take any action.,Advice/Opinion-seeking
You should return next summer.,Advice/Opinion-seeking
And especially the Eastern Europeans.,Judgment
"Unfortunately I could only pick one, but I think Asian women are also fabulous.",Preferences/Decisions
Perhaps yours will arrive eventually.,Casual Conversation
"But everyday they hold hands, and they hold each other when it is cold.",Casual Conversation
I believe it means they court others.,Assessing/Judging
What must I do in order to get him back?,Advice/Opinion-seeking
She merely wants you to initiate the relationship. Speak with her.,Advice/Opinion-seeking
With all the available men in the world I don't understand why you chose one that can not make a decision.,Judging
Is being a virgin a bad thing?,Advice/Opinion-seeking
"I understand that you do not want to be friends with her, and if you really want to confuse her use the following line.",Advice/Opinion-Seeking
I do not know which direction to move in.,Advice/Opinion-seeking
Would you take that action if it meant you would lose your friend?,Advice/Opinion-seeking
My response to your question was invalid.,Complaints/Rants
Women killed chivalry.,Judging
Are you in love with her?,Inquiry
"If it works out, it will be a good thing.",Preferences/Decisions
I prefer having  friends that are the opposite sex.,Preferences/Decisions
There is this guy who I see all the time at school.,Casual Conversation
"Can you say ""I love you, and I'm good at sports and hot"".",Humor
Did he bring you breakfast in bed like you did?,Inquiry
I might be too boring for him.,Emotional Expression
I do not want to be bad to her.,Support
"If you love that individual, you should not want to share them.",Advice/Opinion-seeking
"Now, don't interpret that as 'it must be large' because that is not enjoyable either.",Advice/Opinion-seeking
The most masculine response is 'both at once'.,Humor
"If he injures your feelings, then he does not care for you.",Judging
Perhaps that means 'exhausted'.,Opinion
They are very well liked by everyone as they are quite entertaining.,Assessing/Judging
I need a surface to hold on to for more stability.,Information Seeking
What is it about this gentelman makes you interested in pursuing him as a love interest?,Inquiry
This is a solution that will allow you to have both.,Advice/Opinion-seeking
I hope you have a great time.,Support
"I would advise you to break up with your current girlfriend, and try dating Morgan.",Advice/Opinion-seeking
Are the two of you old enough?,Inquiry
Divorce is an emotionally stressful time for almost everyone.,Support
"On the home page, highlight the word ""SONGS"" and then follow the prompts to obtain the free downloads.",Procedurality
Counseling may help them work through the matter.,Advice/Opinion-seeking
He is a gentleman. He will not do anything unless you ask him to.,Assessing/Judging
This girl is definitely interested in you.,Judging
Are you sure that he is not having sexual relations with him? Don't be naive.,Judging
"But, that's only what I think.",Assessing/ Judging
"Sorry, I am a decent, heterosexual man.",Casual Conversation
Neither of you mind if you don't do it.,Opinion
"That is how money begins, with love.",Opinion
"The point is I am in love with my Lord, and He is in love with me.",Emotional Expression
"Age matters not, you cannot help who you like or fall in love with.",Opinion
I registered and gave them my email. Now I regret it.,Complaints/Rants
Do whatever it is that you want to do.,Preferences/Decisions
"Walk up and start talking, and once you've started a conversation ask if they would like to go out sometime.",Advice/Opinion-seeking
"Hope that this advice is helpful, don't take it in jest!",Advice/Opinion-seeking
"Once you're married, you can have all that you desire.",Opinion (Preferences/Decisions)
"If I were intimate with him he will receive and STI, it isn't deadly though.",Warning/Caution
Let God lead you.,Support
Start up a conversation by asking for a date to church.,Social Questions
I pray that you will listen to my advice.,Support
In marriage you must be submissive.,Judging
Get yourself tested for STD's before having sex.,Warning/Caution
Girls with long hair are licking their ice cream cones.,Informational Statement
"Technically, if he was cheating on her with you then he was cheating on both of you.",Assessing/Judging
"If that is not unconditional love, I don't know what is.",Assessing/Judging
Eyes are the best part of a woman.,Preferences/Decisions
No! There are people just like you.,Support
We made our acquaintance where I attend classes.,Casual Conversation
Find out which of the two is the girl's preference.,Preferences/Decisions
Times when you are free to move as you wish.,Inquiry
Please relay to him my desire for you to give me an expression of affection.,Emotional Expression
"At that time, you will be able to now and experience true love.",Casual Conversation
Ask him what his answer is.,Advice/Opinion-seeking
Should I hang out with him?,Advice/Opinion-Seeking
Trojans are supposed to be good.,Opinion/ Judgment
Not too small but not too big.,Preferences and Decisions
Love is someone you would die for.,Opinion/Personal Belief
This has happened to me before and it sucks.,Support
Did you see the movie Trois?,Inquiry
Statistically it is up to two to three times a week and ten times a month.,Information
It does not because Greek gods do have small ones.,Humor
Getting back together will make him think that you changed your mind.,Assessing/Judging
Nice guys are able to fight too.,Opinion (Judging)
God is what you make out of him.,Opinion/Philosophical
I found out later that she had been seeing another guy in my apartment building!,Complaints/Rants
I guess that since I am not in that position that I do not understand.,Subjective
"I agree that you should try and spice things up a little, as that always works.",Advice/Opinion-seeking
"When they hear that women have a baby, a lot of men tend to leave the relationship.",Judging
"Have you ever heard the saying, ""No one loves you like you do?""",Inquiry
"I am not trying to be vulgar, but have you tried intimate phone calls?",Advice/Opinion-seeking
He was unfaithful to her and he will be unfaithful to you as well.,Judging
You could be friends with someone of the opposite gender.,Opinion Seeking
Joe Nathan is in ninth place.,Information
"Sounds interesting, inform me if you find out.",Information Seeking
The guy on forty year old virgin was attractive.,Opinion - Judging
What happens if I enjoy it and want it to last?,Inquiry
"Well, it was as though I were reading her diary.",Casual Conversation
You should have sex both before and after studying.,Advice/Opinion-seeking
"Remember, if your spouse were to find out, it would not end well. Generally speaking, of course.",Warning/Caution
Oh! And he is also going to my birthday party.,Casual Conversation
I would know as I have an 18 month old.,Personal Experiences/Recommendations
"I didn't have one, so it's not low or high.",Information
"Get as angry as you want, but don't lose a friend in the process.",Advice/Opinion-seeking
"Only my previous experience, best wishes!",Personal Experiences/Recommendations
"You find your soulmate after love, and love comes after friendship",Opinion
"If you don't want it, don't do it.",Advice/Opinion-seeking
"There are many fish in the sea, and you need to keep looking for ""Miss Right.""",Advice/Opinion-Seeking
I believe I can pinpoint why viable Caucasian males are attracted to Asian females.,Opinion
The young woman is standing in that spot with her own boyfriend.,Observation/Statement
"Do you still enjoy clinging to your spouse, or do you feel yourself pulling away from the marital union?",Inquiry
"When one has established love bonds with others, it is important to prioritize their needs over one's own needs and desires.",Advice/Opinion-seeking
"Later maybe, they tend to be lazy after eating and just lie in bed.",Casual Conversation
I would like to be with him.,Preferences/Decisions
She discussed everything with her boyfriend.,Casual Conversation
I can have it anytime of the day and it works well for me.,Personal Experiences/Recommendations
You will not go to hell for being a lesbian.,Opinion/Judging
Kiss when the ball drops!,Socio-emotional / Casual Conversation
"I just ended things with my boyfriend, and I just was honest with him.",Personal Experiences/Recommendations
"Just after you have flossed, brushed, and gargled, oh yeah, him as well.",Humor
"Do unto others as you'd have them do to you, not do unto others as they do to you.",Advice/Opinion-seeking
"She has been in relationships with men, a couple heartaches, but loves herself, what is the rush here?",Opinion-seeking
It was merely a wrong number.,Casual Conversation
"If you find yourself attracted to him, you should consider a relationship with him.",Advice/Opinion-seeking
"I do not believe that will happen if you do not have her phone number. But if you do, definitely call her.",Advice/Opinion-seeking
"My goodness, why would you ever engage in that behavior?",Judging
He has a nice personality and he is very manerable.,Casual Conversation
I like to watch guys play basketball shirtless and sweaty.,Preferences/Decisions
Why do I miss him? He was only pen and paper!,Socio-emotional (Casual Conversation)
It is more fun when she feels like a victim afterwards.,Opinion - Judging
I am registered on Cupid.com as aipoilbo from the 12953 area.,Information Sharing
You definitely need to work this out with her.,Advice/Opinion-seeking
Do not do it if you are not really ready.,Advice/Opinion-seeking
"Over-thinking it will not help, because there is no one certain way.",Advice/Opinion-seeking
I look forward to going to school.,Casual Conversation
Kids are the only people who play Head games.,Judging
They act shy around you but they are really really nice.,Judging
You have questions about self doubt.,Inquiry
"Don't worry, there are still plenty of years ahead of you.",Support
"Personally, I would not care either way.",Preferences/Decisions
"My motto is, ""say what you mean and mean what you say.""",Preferences/Decisions
I am a good -looking twenty-five year old male with a daughter.,Casual Conversation
Should I tell her that information and then dump her for her mother?,Advice/Opinion-seeking
Next someone will want to marry a tree.,Humor
Men enjoy conversing and especially appreciate it when a woman approaches them.,Opinion
She will be surprised to find out you listened to her.,Casual Conversation
Good women are interested in good men.,Judging
There is a man at school that I like and am interested in.,Sharing Personal Feelings
Meet for drinks at the SNCO or O'Club.,Casual Conversation
Do you see what went wrong in this picture?,Inquiry
I wonder what the East Coast looks like.,Information Seeking
"You are not missing out, he is.",Support
"In my opinion, soulmates do not exist.",Advice/Opinion-seeking
There are features that function and features that do not.,Information
"Rehashing the various causes (lying, other men, mutual obligations) will not ease our pain.",Complaints/Rants
"Well, because we are girls!",Humor
Buy him a brand new sky blue car with key chains!,Advice/Opinion-seeking
But it seems like lately we do nothing but argue and disagree.,Emotional Expression
"Make them look as if they are okay at it, if they are better than you, really all you want.",Advice/Opinion-Seeking
"Frankly, even homosexuals would dump you in a second!",Judging
"Also, you know it's unjust to get involved with someone else's spouse.",Judging
"Ask yourself these questions, am I enjoying life?",Advice/Opinion-seeking
Do not flirt too much or you may end up in bed the same night.,Warning/Caution
I am into this relationship and I want to impress my lady with little to no fault of mine.,Advice/Opinion-seeking
You can call the summer camp and con your way into getting her information.,Advice/Opinion-seeking
The girl and I never see eachother anymore.,Complaints/Rants
You would not go if you did not become a lesbian.,Assessing/Judging
"Ladies and gentlemen, did you always enjoy your time and what was the most number of times it was enjoyed?",Information Seeking
"When you have matured, interdependence may be an option for you.",Advice/Opinion-seeking
But was his love for her actually love?,Advice/Opinion-seeking
"If it's the real thing, love is beautiful.",Casual Conversation
It's possible that he has not encountered her yet.,Assessing/Judging
"Listen to Bearhead, that'll will help.",Personal Experiences/Recommendations
I'm going to terminate speaking immediately.,Complaint/Rant
I have a question. Would you have sex immediately after consuming nine thousand doughnuts?,Humor
You should utilize protection regardless of your decision.,Advice/Opinion-seeking
"Beauty shouldn't play a portion in how much we like someone, but it's nature.",Opinion
Naturally it is easier to run.,Preferences/Decisions
The 'strong and silent' strategy has always been successful in my experience.,Personal Experiences/Recommendations
"Don't put the blame on her, blame her mom or dad.",Judging
Just be a man and ask her on a date.,Advice/Opinion-seeking
I love well-dressed girls with long hair.,Preferences/Decisions
It sounds like you're in love with him.,Casual Conversation
"I have an undesirable job, my automobile is problemetic, and I'm facing a lawsuit. Also I'm dealing with issues with my apartment.",Complaints/Rants
"You need to tell him why you dislike him, and be nice without seeming like you rehearsed it.",Advice/Opinion-seeking
"You go to school with people called peers, and get to know them.",Casual Conversation
"When I arrived home, he was still there, asleep.",Casual Conversation
"I do not mean that you ahve done anything wrong per se, you jsut can not read his mind.",Opinion - Judging
It is like a big sign that says I am easy.,Complaints/Rants
Realistically I have 3-5 times per week.,Personal Experiences/Recommendations
"What I mean is, how do you ask someone out, but do not care about their answer.",Inquiry
"If you have not had sex, sooner or later he will want to.",Assessing/Judging
"No, not unless you have already given a chance to be with this soulmate and it didn't end up perfect.",Advice/Opinion-seeking
It depends on what he enjoys.,Subjective Questions
"Hello, Ms. Jasmine, first of all, is anyone aware why he is doing that?",Information Seeking
"They need medication, they need to go visit a doctor.",Advice/Opinion-seeking
Most best friends that have been in a relationship are not best friends anymore.,Assessing/Judging
Pretty dumb that I asked it!,Complaints/Rants
"Angel baby, you just can not blurting this out, you have to ask separate.",Advice/Opinion-seeking
During school I have two careers and fifteen credit hours.,Information Sharing
"It drives you mad, so it beneficial.",Opinion (Assessing/Judging)
"Men seem to get lazy, when that happens their bodies get lazy as well.",Judging
Should you be doing your homework and concentrating on school?,Advice/Opinion-Seeking
Your brother is going to be fine.,Support
"Give them a Chinese burn, it works every time.",Humor/Snark/Sarcasm
I am just a guy and I cannot help it.,Casual Conversation
"If it is assault or battery, etc.",Information Seeking
Make sure it is fun!,Advice/Opinion-seeking
How long were they dating? What was the nature of their relationship?,Information Seeking
"Whether girls admit it or not, they do find men attractive when they are not afraid to show their true feelings!",Judging
That is fine with me as long as she is at least 18 years old.,Preferences/Decisions
It sounds like he is only interested in her for carnal reasons.,Assessing/Judging
"Yes and no, but they love it.",Casual Conversation
They are welcome to send me an email with a picture if there is one.,Procedurality
I enjoy spending time with you.,Casual Conversation
"As I tell my fiancee, ""If I say it's beautiful, then it is beautiful.""",Opinion
Please feel free to reach me at earldbjr@yahoo.com with any suggestions.,Contact
"Experiencing love can cause emotional pain, but that pain can teach one and make one stronger.",Personal Experiences/Recommendations
"If it is only for one night, I would suggest you enjoy it.",Advice/Opinion-seeking
I am having a hard time finding a heterosexual man in any location.,Complaint
It is healthy to be friends with your ex-partner.,Advice/Opinion-seeking
If you would like to continue this conversation you may email me at fossil7998@yahoo.com,Navigationality
May I ask how long you have been dating her?,Information Seeking
"Most likely, but this is common among humans.",Casual Conversation
"That was a joke, I prefer loose fitting undergarments.",Humor
"Yes, wear them, or sell them and purchase something nice for yourself.",Advice/Opinion-seeking
"Also, no I am in good shape and quite successful.",Casual Conversation
I will leave the remaining to your judgement.,Preferences/Decisions
Love is more powerful than money.,Opinion
"If he does not, you may be in a better position.",Advice/Opinion-seeking
He will share if he likes you.,Opinion-Seeking
I figure it would happen at the time of your marriage.,Assessing/Judging
I do not intended for one night only.,Preferences/Decisions
"Or hire a professional escort, if you're more adventurous hire a porn actress.",Advice/Opinion-seeking
There are low-cost hand-held video games that don't cost anymore than five dollars.,Information
"You're old enough there is not much you can do to claim him as yours, and you probably could not even if you wanted to.",Assessing/Judging
Good luck in your future endeavors.,Socio-emotional - Support
What is your relationship with this person?,Inquiry
There's no need to complain about honest men.,Emotional Expression
"Make sure you spend a lot of time on it, otherwise you will lose it.",Advice/Opinion-seeking
I told him we would do what you have planned.,Casual Conversation
"They do not like it, they love it.",Preferences/Decisions
Love is a game in which no doctor can explain.  It tickles and affects the brain.,Humor
What can I do to make him want me again?,Advice/Opinion-seeking
"You do not, unless you ask her out.",Advice/Opinion-seeking
They can be found everywhere if you know where to look.,Procedurality
Not a girl who worries and doesn't try asking.,Casual Conversation
"I am not infatuated by overweight girls, although I do adore them.",Preferences/Decisions
"He has poor hygiene, is rude, and is aggressive so if you are fine with that then go ahead and date him.",Assessing/Judging
I figured out the difficult way.,Personal Experiences/Recommendations
